loss,accuracy,val_loss,val_accuracy
0.5147287249565125,0.7525594830513,1.313454031944275,0.4992378056049347
0.3533576428890228,0.8504188060760498,0.9747509956359863,0.4984756112098694
0.29782602190971375,0.8783406615257263,4.710755348205566,0.5342987775802612
0.2811988294124603,0.8880468010902405,0.80015629529953,0.7713414430618286
0.23576901853084564,0.9089216589927673,0.1962020993232727,0.9352133870124817
0.22373874485492706,0.9145060777664185,0.36848774552345276,0.8696646094322205
0.23124954104423523,0.9143730998039246,0.583315908908844,0.8140243887901306
0.19658157229423523,0.9248769879341125,0.3774723410606384,0.8650914430618286
0.1868983954191208,0.9292647242546082,0.27061954140663147,0.9092987775802612
0.16883595287799835,0.9355139136314392,0.2362455278635025,0.9329268336296082
